Species ;Treatment;PP;LI;DLI;Rep;"FY
(kg/m2)";mHcm;"DW 
(kg/m2)";DM%;Chll a (mg/g DW) ;"Chll b 
(mg/g DW) ";"Car
(mg/g DW)  ";"T. Chll a+b 
(mg/g DW) ";mg/kg NO3 FW;"Trolox 
(uM g/DW) ";"GA 
g/DW";mg CE  / g DW;Soluble Protein mg/ g FW;N;P;K;Ca;Mg;S;Mn;Fe;Cu;B;Al;Zn;Na
Sunflower;T4 - 24/150;24;150;25,92;4;3,785416667;7,786666667;0,293435595;7,751738347;0,653625;0,3382191;0,751691846;0,939204;1520,265354;39,90757572;9,9;10,5504;0,251049258;4,451;1,095890411;2,434141201;1,032665964;0,600632244;0,400421496;67,59747102;95,99578504;21,30663857;18,32455216;6,45943098;95,16332982;914,3519494
Peas;T1 - 16/150;16;150;8,64;1;3,790277778;14,18666667;0,31152968;8,219178082;1,409033;0,6289189;1,312663876;1,925296;777,2094081;47,71397697;9,6;11,2491;0,410321071;8,396;1,057280514;2,944325482;0,642398287;0,22751606;0,68254818;36,76391863;107,5883298;18,54925054;18,09421842;5,165952891;85,53265525;734,5556745
Peas;T2 -24/300;24;300;12,96;1;3,683333333;12,08;0,34973064;9,494949495;1,585283;0,7105085;1,567724928;2,16902;781,6332837;78,1501706;16,2;17,9015;1,236819506;7,843;1,001560874;2,770551509;0,819458897;0,234131113;0,676378772;38,16337149;102,7835588;18,44432882;18,40530697;5,840270552;82,97346514;710,3147763
Peas;T3 - 16/300;16;300;17,28;1;3,867708333;13,05333333;0,339346617;8,773841962;1,558617;0,6981326;1,521000493;2,132114;701,8520879;68,32638476;12,8;11,2098;1,078735474;8,332;1,042149143;2,825382121;0,694766095;0,231588698;0,68318666;41,38490042;107,3182029;19,22186197;18,79342288;5,627605373;83,97406207;716,2691061
Peas;T4 - 24/150;24;150;25,92;1;3,915972222;13,21333333;0,338525206;8,644729504;1,364277;0,6362081;1,412683217;1,891184;726,4887556;57,80089993;12,6;9,522;0,851004761;8,291;1,046167842;2,876961565;0,739140323;0,227427792;0,693654765;42,34705481;105,7652945;18,31930862;18,31930862;5,105753923;84,40982488;661,5988174
Peas;T1 - 16/150;16;150;8,64;2;3,877430556;14,2;0,326486884;8,420186506;1,417724;0,6060434;1,200840856;1,910636;533,8776298;60,43227114;10,9;11,4263;0,723151917;8,301;0,943396226;2,623101703;0,517717441;0,207086977;0,575241601;31,94891855;99,95398067;17,3147722;16,52093879;4,64795214;78,06028532;574,4247584
Peas;T2 -24/300;24;300;12,96;2;3,650694444;11,46666667;0,348147123;9,536462947;1,590043;0,7439196;1,69418427;2,206554;501,9634137;78,23788297;14,5;9,217;1,16456504;7,663;0,940361297;2,684978966;0,791883197;0,235090324;0,643405098;38,25785697;107,1269488;18,21331354;17,90398416;5,59267508;81,51447661;658,4756248
Peas;T3 - 16/300;16;300;17,28;2;3,546527778;11,90666667;0,321631902;9,068923821;1,742896;0,7087942;1,341551646;2,312908;743,6430656;63,41449184;12,9;8,971;1,058170125;8,229;1,034390113;2,861364858;0,698549167;0,241805481;0,711982805;41,32186996;106,972058;18,64588931;18,01450833;5,131649651;83,91993552;657,3481999
Peas;T4 - 24/150;24;150;25,92;2;3,999305556;13,22666667;0,351142528;8,780087527;0,905689;0,6340393;1,543574167;1,465432;836,3396447;61,30939487;12,2;14,3244;0,777195048;8,266;1,008939974;2,809706258;0,702426564;0,229885057;0,67688378;39,87228608;104,9680715;18,3908046;18,12260536;5,555555556;83,25670498;620,9578544
Peas;T1 - 16/150;16;150;8,64;3;3,627777778;13,16;0,307005172;8,462623413;1,178634;0,6699364;1,256415949;1,753156;524,6835651;48,85423782;10,4;10,1863;0,526855003;8,432;1,067961165;2,857142857;0,513176144;0,208044383;0,638002774;32,56588072;104,1331484;18,61303745;18,52981969;5,214979196;81,13730929;556,7683773
Peas;T2 -24/300;24;300;12,96;3;3,448958333;10,81333333;0,326366631;9,462759463;1,355816;0,5492506;1,448858271;1,797124;535,2467473;82,09722741;17;11,2393;1,300922416;7,798;0,9792214;2,663004538;0,597086219;0,214951039;0,644853117;30,58275615;101,3255314;18,48578935;16,93336518;6,627657034;79,94984476;591,9154526
Peas;T3 - 16/300;16;300;17,28;3;3,076388889;11,17333333;0,285679911;9,286209286;1,160515;0,5820565;1,304973764;1,64926;550,21891;69,81749511;13,1;7,4751;1,186922688;8,326;1,049042748;2,897980593;0,563860477;0,222921584;0,642538683;31,89089955;104,8518227;19,72200367;17,938631;5,782848151;80,61893522;638,7096774
Peas;T4 - 24/150;24;150;25,92;3;3,266319444;11,69333333;0,300859401;9,210960713;1,142235;0,5710597;1,330808298;1,621468;477,2199972;67,44926102;13,6;10,5061;1,124223815;8,087;1,011378003;2,806573957;0,543615676;0,202275601;0,619469027;31,517067;101,5676359;18,14159292;17,61061947;4,854614412;79,35524652;538,8242731
Peas;T1 - 16/150;16;150;8,64;4;3,798263889;12,84;0,317911769;8,369923161;1,146851;0,5518423;1,212407845;1,606672;616,7173075;48,9419502;10,1;8,0016;0,570861676;8,362;1,279128673;3,495440729;0,645896657;0,253292806;0,7852077;40,21023303;127,710233;22,30243161;23,08763931;5,445795339;98,39159068;679,6099291
Peas;T2 -24/300;24;300;12,96;4;3,574305556;11,26666667;0,336491021;9,414164966;1,193282;0,5944369;1,436765963;1,691806;558,0935079;83,85147488;16,2;11,8199;1,024522363;7,802;0,997697621;2,686108979;0,703504733;0,217446917;0,665131747;34,01125608;97,86390381;18,27833205;17,48529036;5,346635968;78,61345613;655,257099
Peas;T3 - 16/300;16;300;17,28;4;3,184027778;11,12;0,292073522;9,173083361;1,273867;0,5940387;1,350718252;1,765848;642,1223194;65,8704383;13,4;7,3423;1,15095512;8,268;1,053544869;2,962320278;0,60733763;0,223103619;0,644521567;34,3951413;99,83886961;19,1993059;18,70352008;5,267724343;80,57759048;650,557759
Peas;T4 - 24/150;24;150;25,92;4;3,299652778;11,33533333;0,300704779;9,113224916;1,096794;0,5412797;1,275137871;1,549958;518,3307605;64,2039032;14,5;8,3165;1,011622932;8,148;1,03626943;2,772020725;0,569948187;0,207253886;0,621761658;32,31865285;99,08031088;18,01813472;18,66580311;4,81865285;78,43264249;542,111399
