Room;Species ;PP;LI;DLI;Rep;MShFw;"FY
(kg/m2)";mHcm;"DW 
(kg/m2)";DM%;Tray 1;Tray 2;Tray 3;Tray 1;Tray 2;Tray 3;MFWt;Chll a (mg/g DW) ;"Chll b 
(mg/g DW) ";"Car
(mg/g DW)  ";"T. Chll a+b 
(mg/g DW) ";mg/kg NO3 FW;"Trolox 
(uM g/DW) ";"GA 
g/DW";mg CE  / g DW;Soluble Protein mg/ g FW;"Energy Cosuption
kw/h";N;P;K;Ca;Mg;S;Mn;Fe;Cu;B;Al;Zn;Na
104;Sunflower;24;150;25,92;2;0,6;3,83;8,37;0,3;7,89;9,92;12,06;14,26;73,26;71,86;75,58;73,57;0,62;0,32;0,74;0,89;1918,47;49,38;8,4;9,33;0,44;11,19;4,78;1,14;2,84;1,08;0,62;0,44;63,61;97,94;22;19,62;4,85;94,26;829,2
105;Sunflower;16;150;8,64;3;0,51;3,09;7,96;0,29;9,5;11,02;10,38;9,18;60,74;58,4;58,94;59,36;0,4;0,2;0,5;0,57;1299,21;42,62;8,3;12,48;0,69;8,34;4,47;1,18;2,13;0,74;0,57;0,34;55,55;89,56;22,55;17,92;4,34;93,65;426,93
105;Sunflower;24;300;12,96;3;0,5;3,19;7,4;0,3;9,54;11,14;8,8;10,2;63,32;58,46;62,14;61,31;0,55;0,28;0,66;0,78;1008,01;55,52;13,6;10,96;0,67;26,55;4,27;1,09;2,07;0,83;0,58;0,35;59,5;86,25;20,55;17,28;3,51;85,19;521,5
105;Sunflower;16;300;17,28;3;0,46;3,08;7,47;0,28;9,07;11,1;8,12;8,48;63,28;63,04;51,14;59,15;0,45;0,22;0,56;0,64;1271,79;44,73;8,9;11,46;0,7;16,76;4,47;1,12;2,21;0,82;0,6;0,35;56,19;89,47;21,65;17,42;3,31;87,66;413,27
105;Sunflower;24;150;25,92;3;0,61;4,2;8,88;0,32;7,55;12,55;10,3;13,54;77,85;84,48;79,84;80,72;0,51;0,27;0,58;0,73;1615,92;48,59;9,4;11,52;0,31;14,89;4,51;1,12;2,61;1,12;0,62;0,43;74,74;94,98;21,02;18,63;4,48;88,3;881,69
105;Sunflower;16;150;8,64;4;0,49;3,16;7,23;0,29;9,26;10,08;10,26;8,88;62,44;56,44;63,08;60,65;0,35;0,18;0,43;0,5;1328,36;32,45;9,2;12,95;0,58;8,34;4,53;1,14;2,12;0,73;0,59;0,34;53,37;88,83;22,27;17,27;3,69;89,92;422,44
105;Sunflower;24;300;12,96;4;0,47;3,18;7,47;0,31;9,87;10,02;9,54;8,38;58,36;62,12;62,66;61,05;0,51;0,26;0,65;0,73;1070,31;59,52;9,9;10,11;0,47;26,55;4,25;1,08;2,04;0,78;0,55;0,33;54,18;85,77;20,84;16,69;3,35;83,92;437,58
105;Sunflower;16;300;17,28;4;0,45;2,89;7,64;0,28;9,52;9,64;9,64;7,78;55,26;57,2;54,22;55,56;0,42;0,21;0,52;0,59;1272,84;49,29;9,6;15,91;0,41;16,76;4,37;1,12;2,18;0,81;0,57;0,35;52,48;85,97;21,43;16,85;4,01;85,64;395,28
105;Sunflower;24;150;25,92;4;0,51;3,79;7,79;0,29;7,75;9,96;9,14;11,2;77,66;73,56;66,82;72,68;0,65;0,34;0,75;0,94;1520,27;39,91;9,9;10,55;0,25;14,89;4,45;1,1;2,43;1,03;0,6;0,4;67,6;96;21,31;18,32;6,46;95,16;914,35
104;Peas;16;150;8,64;1;0,45;3,79;14,19;0,31;8,22;8,56;9,22;9,3;77,38;67,64;73,3;72,77;1,41;0,63;1,31;1,93;777,21;47,71;9,6;11,25;0,41;9,43;8,4;1,06;2,94;0,64;0,23;0,68;36,76;107,59;18,55;18,09;5,17;85,53;734,56
104;Peas;24;300;12,96;1;0,4;3,68;12,08;0,35;9,49;8,22;7,92;7,88;69,3;69,14;73,72;70,72;1,59;0,71;1,57;2,17;781,63;78,15;16,2;17,9;1,24;28,2;7,84;1;2,77;0,82;0,23;0,68;38,16;102,78;18,44;18,41;5,84;82,97;710,31
104;Peas;16;300;17,28;1;0,41;3,87;13,05;0,34;8,77;8,34;7,6;8,56;73,4;74,46;74,92;74,26;1,56;0,7;1,52;2,13;701,85;68,33;12,8;11,21;1,08;18,98;8,33;1,04;2,83;0,69;0,23;0,68;41,38;107,32;19,22;18,79;5,63;83,97;716,27
104;Peas;24;150;25,92;1;0,42;3,92;13,21;0,34;8,64;7,9;8,94;8,38;71,72;73,7;80,14;75,19;1,36;0,64;1,41;1,89;726,49;57,8;12,6;9,52;0,85;14,34;8,29;1,05;2,88;0,74;0,23;0,69;42,35;105,77;18,32;18,32;5,11;84,41;661,6
104;Peas;16;150;8,64;2;0,44;3,88;14,2;0,33;8,42;8,46;9;8,9;72,92;69,5;80,92;74,45;1,42;0,61;1,2;1,91;533,88;60,43;10,9;11,43;0,72;9,43;8,3;0,94;2,62;0,52;0,21;0,58;31,95;99,95;17,31;16,52;4,65;78,06;574,42
104;Peas;24;300;12,96;2;0,43;3,65;11,47;0,35;9,54;8,94;8,14;8,54;67,74;71,5;71,04;70,09;1,59;0,74;1,69;2,21;501,96;78,24;14,5;9,22;1,16;28,2;7,66;0,94;2,68;0,79;0,24;0,64;38,26;107,13;18,21;17,9;5,59;81,51;658,48
104;Peas;16;300;17,28;2;0,49;3,55;11,91;0,32;9,07;12,24;8,76;8,6;66,16;67,82;70,3;68,09;1,74;0,71;1,34;2,31;743,64;63,41;12,9;8,97;1,06;18,98;8,23;1,03;2,86;0,7;0,24;0,71;41,32;106,97;18,65;18,01;5,13;83,92;657,35
104;Peas;24;150;25,92;2;0,42;4;13,23;0,35;8,78;8,18;7,68;9,08;73,12;77,32;79,92;76,79;0,91;0,63;1,54;1,47;836,34;61,31;12,2;14,32;0,78;14,34;8,27;1,01;2,81;0,7;0,23;0,68;39,87;104,97;18,39;18,12;5,56;83,26;620,96
105;Peas;16;150;8,64;3;0,41;3,63;13,16;0,31;8,46;8,6;7,88;8,26;70,9;70,64;67,42;69,65;1,18;0,67;1,26;1,75;524,68;48,85;10,4;10,19;0,53;10,15;8,43;1,07;2,86;0,51;0,21;0,64;32,57;104,13;18,61;18,53;5,21;81,14;556,77
105;Peas;24;300;12,96;3;0,37;3,45;10,81;0,33;9,46;8,1;7,08;6,92;65,52;68,1;65,04;66,22;1,36;0,55;1,45;1,8;535,25;82,1;17;11,24;1,3;33,18;7,8;0,98;2,66;0,6;0,21;0,64;30,58;101,33;18,49;16,93;6,63;79,95;591,92
105;Peas;16;300;17,28;3;0,4;3,08;11,17;0,29;9,29;8,16;8,12;7,58;57,72;62,24;57,24;59,07;1,16;0,58;1,3;1,65;550,22;69,82;13,1;7,48;1,19;20,38;8,33;1,05;2,9;0,56;0,22;0,64;31,89;104,85;19,72;17,94;5,78;80,62;638,71
105;Peas;24;150;25,92;3;0,4;3,27;11,69;0,3;9,21;7,4;8,3;8,06;60,58;65,3;62,26;62,71;1,14;0,57;1,33;1,62;477,22;67,45;13,6;10,51;1,12;18,49;8,09;1,01;2,81;0,54;0,2;0,62;31,52;101,57;18,14;17,61;4,85;79,36;538,82
105;Peas;16;150;8,64;4;0,41;3,8;12,84;0,32;8,37;8,16;7,62;8,82;72,88;72,44;73,46;72,93;1,15;0,55;1,21;1,61;616,72;48,94;10,1;8;0,57;10,15;8,36;1,28;3,5;0,65;0,25;0,79;40,21;127,71;22,3;23,09;5,45;98,39;679,61
105;Peas;24;300;12,96;4;0,42;3,57;11,27;0,34;9,41;8,36;8,66;8;68,62;66,48;70,78;68,63;1,19;0,59;1,44;1,69;558,09;83,85;16,2;11,82;1,02;33,18;7,8;1;2,69;0,7;0,22;0,67;34,01;97,86;18,28;17,49;5,35;78,61;655,26
105;Peas;16;300;17,28;4;0,38;3,18;11,12;0,29;9,17;8,52;7,22;7,08;59,74;61,16;62,5;61,13;1,27;0,59;1,35;1,77;642,12;65,87;13,4;7,34;1,15;20,38;8,27;1,05;2,96;0,61;0,22;0,64;34,4;99,84;19,2;18,7;5,27;80,58;650,56
105;Peas;24;150;25,92;4;0,39;3,3;11,34;0,3;9,11;7,8;8,06;7,4;65,18;63,84;61,04;63,35;1,1;0,54;1,28;1,55;518,33;64,2;14,5;8,32;1,01;18,49;8,15;1,04;2,77;0,57;0,21;0,62;32,32;99,08;18,02;18,67;4,82;78,43;542,11
